URL,Cache | L1 Cache,Cache | L2 Cache,Cache | L3 Cache,Clock | Base Clock,Clock | Turbo Clock,Clock | Unlocked Multiplier,Cooling | 120mm Fans,Cooling | 120mm Radiator Support,Cooling | 140mm Fans,Cooling | 140mm Radiator Support,Cooling | 200mm Fans,Cooling | 240mm Radiator Support,Cooling | 280mm Radiator Support,Cooling | 360mm Radiator Support,Cooling | 80mm Fans,Cooling | Supported CPU cooler height,Core Characteristics | Panel,Core Characteristics | Refresh Rate,Core Characteristics | Resolution,Core Characteristics | Response Time,Core Characteristics | Size,Core | Cache,Core | Chipset,Core | Clock,Core | Controller,Core | Efficiency Rating,Core | Form Factor,Core | Height,Core | NAND,Core | PCI-E cables 6-pin,Core | PCI-E cables 8-pin,Core | Protocol,Core | RPM,Core | Radiator,Core | Ram Type,Core | Size,Core | Socket,Core | Sticks,Core | Supported Sockets,Core | TDP,Core | Timings,Core | Unlocked,Core | Watt,Cores | Cores,Cores | Threads,Dimensions | 6-pin connectors,Dimensions | 8-pin connectors,Dimensions | Depth,Dimensions | Height,Dimensions | Length,Dimensions | Motherboard,Dimensions | Power Supply,Dimensions | Slots,Dimensions | Supported GPU length,Dimensions | Width,"Disks | 2.5""","Disks | 2.5""/3.5""","Disks | 3.5""","Disks | 5.25""",Display Connectors | DVI,Display Connectors | Display Port,Display Connectors | DisplayPort,Display Connectors | HDMI,Display Connectors | VGA,Extension Cards | PCI-E 3.0 x1,Extension Cards | PCI-E 3.0 x16,Extension Cards | PCI-E 3.0 x4,Extension Cards | PCI-E 3.0 x8,Extension Cards | PCI-E 4.0 x1,Extension Cards | PCI-E 4.0 x16,Extension Cards | PCI-E 4.0 x4,Extension Cards | PCI-E 4.0 x8,Fans | 120mm Fans,Fans | 140mm Fans,Fans | 200mm Fans,Fans | 80mm Fans,Fans | 92mm Fans,Fans | Support additional Fan,Memory | Memory Capacity,Memory | Memory Type,Memory | Ramslots,Memory | Supported Ramspeeds,Misc | Adjustable Height,Misc | Cable Management,Misc | Color,Misc | Curved,Misc | Dust Filters,Misc | Integrated graphics,Misc | Noise Isolation,Misc | Notices,Misc | Product Page,Misc | Socket,Misc | Speakers,Misc | Sync,Misc | TDP,Misc | Wifi,Misc | Window,Model Info | EAN,Model Info | MPN,Model Info | Producer,Model Info | UPC,Model Info | Year,Performance | Boost Clock,Performance | Memory Clock,Performance | Vram,Peripherals | USB 3 Headers,Peripherals | USB 3 Slots,Peripherals | USB 3 Type-C,Storage | M.2 (PCI-E 3.0),Storage | M.2 (PCI-E 4.0),Storage | SATA
https://www.pc-kombo.com/us/product/gpu/4711377170703_MSI GeForce RTX 4080 Super Gaming X Slim White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,322 mm,,,3.0,,,,,,,0,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,320 W,,,4711377170703,V511-220R,MSI,,,MHz,23000 MHz,16 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377174046_MSI GeForce RTX 4080 Super Suprim X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,336 mm,,,3.5,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,320 W,,,4711377174046,V511-248R,MSI,824142347966,,MHz,23000 MHz,16 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377170734_MSI GeForce RTX 4080 Super Ventus 3X OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,322 mm,,,3.25,,,,,,,0,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,320 W,,,4711377170734,V511-221R,MSI,824142346587,,MHz,23000 MHz,16 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377027205_MSI GeForce RTX 4080 Suprim X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,336 mm,,,3.5,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,320 W,,,4711377027205,V511-004R,MSI,,,MHz,22400 MHz,16 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377026352_MSI GeForce RTX 4080 Ventus 3X OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,322 mm,,,3.0,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,320 W,,,4711377026352,V511-009R,MSI,824142306352,,2535 MHz,22400 MHz,16 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377020213_MSI GeForce RTX 4090 Ventus 3X 24G OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,322 mm,,,3.0,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,450 W,,,4711377020213,V510-023R,MSI,824142337141,,2565 MHz,21000 MHz,24 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377379946_MSI GeForce RTX 5050 8G GAMING OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,202 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,130 W,,,4711377379946,GEFORCE RTX 5050 8G GAMING OC,MSI,,,2632 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377379960_MSI GeForce RTX 5050 8G SHADOW 2X OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,197 mm,,,6.0,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,130 W,,,4711377379960,GEFORCE RTX 5050 8G SHADOW 2X OC,MSI,,,2602 MHz,2617 MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377380003_MSI GEFORCE RTX 5050 8G VENTUS 2X OC graphics card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,491 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,130 W,,,4711377380003,GEFORCE RTX 5050 8G VENTUS 2X OC,MSI,,,2602 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377342544_MSI GeForce RTX 5060 8G GAMING OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,248 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,155 W,,,4711377342544,GEFORCE RTX 5060 8G GAMING OC,MSI,824142422823,,2625 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377344210_MSI GEFORCE RTX 5060 8G INSPIRE 2X OC graphics card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,204 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,145 W,,,4711377344210,GEFORCE RTX 5060 8G INSPIRE 2X OC,MSI,,,2535 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377352017_MSI GeForce RTX 5060 8G SHADOW 2X OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,197 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,145 W,,,4711377352017,GEFORCE RTX 5060 8G SHADOW 2X OC,MSI,824142423851,,2527 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/471137734272_MSI GeForce RTX 5060 8G Ventus 2X OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,197 mm,,,2.0,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,145 W,,,471137734272,GeForce RTX 5060 8G VENTUS 2X OC,MSI NVIDIA GeForce RTX 5060 Grafikkarte,,,MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377344272_MSI GeForce RTX 5060 8G VENTUS 2X OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,197 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,145 W,,,4711377344272,GEFORCE RTX 5060 8G VENTUS 2X OC,MSI,,,2527 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377344296_MSI GeForce RTX 5060 8G VENTUS 2X OC WHITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,197 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,145 W,,,4711377344296,GEFORCE RTX 5060 8G VENTUS 2X OC WHITE,MSI,824142423806,,2527 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377347501_MSI GeForce RTX 5060 TI 16G GAMING TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,300 mm,,,2.2,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,180 W,,,4711377347501,GEFORCE RTX 5060 TI 16G GAMING TRIO,MSI,,,2572 MHz,MHz,16 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/0824142422137_MSI GeForce RTX 5060 Ti 8G GAMING TRIO OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,300 mm,,,2.0,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,180 W,,,0824142422137,GEFORCE RTX 5060 TI 8G GAMING TRIO OC,MSI,824142422137,,2647 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/4711377338868_MSI GeForce RTX 5060 TI 8G VENTUS 2X OC PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,227 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,180 W,,,4711377338868,GEFORCE RTX 5060 TI 8G VENTUS 2X OC PLUS,MSI,,,2602 MHz,MHz,8 GB,,,,,,
https://www.pc-kombo.com/us/product/gpu/0824142421000_MSI GeForce RTX 5060 Ti 8G VENTUS 2X PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,227 mm,,,2.05,,,,,,,0,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,G-Sync,180 W,,,0824142421000,GEFORCE RTX 5060 TI 8G VENTUS 2X PLUS,MSI,824142421000,,2572 MHz,MHz,8 GB,,,,,,
