URL,Cache | L1 Cache,Cache | L2 Cache,Cache | L3 Cache,Clock | Base Clock,Clock | Turbo Clock,Clock | Unlocked Multiplier,Cooling | 120mm Fans,Cooling | 120mm Radiator Support,Cooling | 140mm Fans,Cooling | 140mm Radiator Support,Cooling | 200mm Fans,Cooling | 240mm Radiator Support,Cooling | 280mm Radiator Support,Cooling | 360mm Radiator Support,Cooling | 80mm Fans,Cooling | Supported CPU cooler height,Core Characteristics | Panel,Core Characteristics | Refresh Rate,Core Characteristics | Resolution,Core Characteristics | Response Time,Core Characteristics | Size,Core | Cache,Core | Chipset,Core | Clock,Core | Controller,Core | Efficiency Rating,Core | Form Factor,Core | Height,Core | NAND,Core | PCI-E cables 6-pin,Core | PCI-E cables 8-pin,Core | Protocol,Core | RPM,Core | Radiator,Core | Ram Type,Core | Size,Core | Socket,Core | Sticks,Core | Supported Sockets,Core | TDP,Core | Timings,Core | Unlocked,Core | Watt,Cores | Cores,Cores | Threads,Dimensions | 6-pin connectors,Dimensions | 8-pin connectors,Dimensions | Depth,Dimensions | Height,Dimensions | Length,Dimensions | Motherboard,Dimensions | Power Supply,Dimensions | Slots,Dimensions | Supported GPU length,Dimensions | Width,"Disks | 2.5""","Disks | 2.5""/3.5""","Disks | 3.5""","Disks | 5.25""",Display Connectors | DVI,Display Connectors | Display Port,Display Connectors | DisplayPort,Display Connectors | HDMI,Display Connectors | VGA,Extension Cards | PCI-E 3.0 x1,Extension Cards | PCI-E 3.0 x16,Extension Cards | PCI-E 3.0 x4,Extension Cards | PCI-E 3.0 x8,Extension Cards | PCI-E 4.0 x1,Extension Cards | PCI-E 4.0 x16,Extension Cards | PCI-E 4.0 x4,Extension Cards | PCI-E 4.0 x8,Fans | 120mm Fans,Fans | 140mm Fans,Fans | 200mm Fans,Fans | 80mm Fans,Fans | 92mm Fans,Fans | Support additional Fan,Memory | Memory Capacity,Memory | Memory Type,Memory | Ramslots,Memory | Supported Ramspeeds,Misc | Adjustable Height,Misc | Cable Management,Misc | Color,Misc | Curved,Misc | Dust Filters,Misc | Integrated graphics,Misc | Noise Isolation,Misc | Notices,Misc | Product Page,Misc | Socket,Misc | Speakers,Misc | Sync,Misc | TDP,Misc | Wifi,Misc | Window,Model Info | EAN,Model Info | MPN,Model Info | Producer,Model Info | UPC,Model Info | Year,Performance | Boost Clock,Performance | Memory Clock,Performance | Vram,Peripherals | USB 3 Headers,Peripherals | USB 3 Slots,Peripherals | USB 3 Type-C,Storage | M.2 (PCI-E 3.0),Storage | M.2 (PCI-E 4.0),Storage | SATA
https://www.pc-kombo.com/us/product/case/0840006621928_Corsair 4000D Airflow Tempered Glass Midi-Tower - weiß Window,,,,,,,2/6,1,0/4,0,0/0,0,1,1,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453 mm,466 mm,,E-ATX,ATX,,360 mm,230 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,0840006621928,CC-9011201-WW,Corsair,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4711099472260_Aerocool Skyline ARGB,,,,,,,0/5,2,0/0,0,0/0,1,0,0,0/0,154 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441 mm,464 mm,,ATX,ATX,,380 mm,196 mm,4,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4711099472260,SKYLINE-A-BK-V1,Aerocool,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4711099472277_Aerocool Skyline ARGB V2 Midi-Tower - schwarz,,,,,,,1/7,0,0/0,0,0/0,1,0,0,0/0,1548 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385 mm,440 mm,,ATX,ATX,,380 mm,180 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4711099472277,ACCM-PV39112.11,Aerocool,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/0761345800129_Antec P5 Mini - schwarz,,,,,,,1/3,1,1/1,0,0/0,1,0,0,0/0,155 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475 mm,395 mm,,Micro-ATX,ATX,,360 mm,195 mm,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,Yes,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,0761345800129,0-761345-80012-9,Antec,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4260052187937_Be quiet! Pure Base 500DX - schwarz,,,,,,,0/6,0,3/5,0,0/0,1,0,1,0/0,190 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 mm,463 mm,,ATX,ATX,,369 mm,232 mm,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4260052187937,BGW37,be quiet!,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4260052187944_Be quiet! Pure Base 500DX - weiß,,,,,,,0/6,0,3/5,0,0/0,1,0,1,0/0,190 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 mm,463 mm,,ATX,ATX,,369 mm,232 mm,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4260052187944,BGW38,be quiet!,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883212697_BitFenix Aegis Core Micro-ATX - blau_schwarz,,,,,,,1/8,1,0/5,0,0/0,2,0,2,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 mm,470 mm,,Micro-ATX,ATX,,350 mm,205 mm,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883212697,BFC-AEG-300-BKWN1-RP,BitFenix,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883212703_BitFenix Aegis Core Micro-ATX - gelb_schwarz,,,,,,,1/8,1,0/5,0,0/0,2,0,2,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 mm,470 mm,,Micro-ATX,ATX,,350 mm,205 mm,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883212703,BFC-AEG-300-YKWN1-RP,BitFenix,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883212680_BitFenix Aegis Core Micro-ATX - rot_schwarz,,,,,,,1/8,1,0/5,0,0/0,2,0,2,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480 mm,470 mm,,Micro-ATX,ATX,,350 mm,205 mm,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883212680,BFC-AEG-300-RKWN1-RP,BitFenix,886027012154,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883217197_BitFenix Nova Mesh Midi-Tower - schwarz,,,,,,,1/6,1,0/4,0,0/0,1,0,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460 mm,437 mm,,E-ATX,ATX,,360 mm,210 mm,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4712883217197,BFC-NVM-300-KKXSK-RP,BitFenix,886027158791,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883217203_BitFenix Nova Mesh Midi-Tower - weiß,,,,,,,1/6,1,0/2,0,0/0,1,0,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460 mm,437 mm,,E-ATX,ATX,,360 mm,210 mm,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4712883217203,BFC-NVM-300-WWXKW-RP,BitFenix,886027158807,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883217586_BitFenix Nova Mesh SE Midi-Tower - weiß,,,,,,,2/6,1,0/2,0,0/0,1,0,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380 mm,450 mm,,ATX,ATX,,315 mm,211 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4712883217586,BFC-NSE-300-WWXKW-RP,BitFenix,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4712883218033_BitFenix Nova Mesh SE Midi-Tower, Tempered Glass - schwarz",,,,,,,2/6,1,0/2,0,0/0,1,1,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380 mm,450 mm,,ATX,ATX,,315 mm,211 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883218033,BFC-NSE-300-KKGSK-RP,BitFenix,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883213571_BitFenix Nova Midi-Tower - schwarz,,,,,,,1/3,0,0/0,0,0/0,0,0,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465 mm,437 mm,,ATX,ATX,,320 mm,183 mm,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4712883213571,BFX-NOV-100-KKXSK-RP,BitFenix,886027012871,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883213595_BitFenix Nova Midi-Tower - schwarz Window,,,,,,,1/3,0,0/0,0,0/0,0,0,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465 mm,437 mm,,ATX,ATX,,320 mm,183 mm,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883213595,BFX-NOV-100-KKWSK-RP,BitFenix,886027012895,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883213588_BitFenix Nova Midi-Tower - weiß,,,,,,,1/3,0,0/0,0,0/0,0,0,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465 mm,437 mm,,ATX,ATX,,320 mm,183 mm,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4712883213588,BFX-NOV-100-WWXKK-RP,BitFenix,886027012888,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4712883213601_BitFenix Nova Midi-Tower - weiß Window,,,,,,,1/3,0,0/0,0,0/0,0,0,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465 mm,437 mm,,ATX,ATX,,320 mm,183 mm,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4712883213601,BFX-NOV-100-WWWKK-RP,BitFenix,886027012901,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/0840006621904_Corsair 4000D Airflow Tempered Glass Midi-Tower - schwarz Window,,,,,,,2/6,1,0/4,0,0/0,0,1,1,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453 mm,466 mm,,E-ATX,ATX,,360 mm,230 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,0840006621904,CC-9011200-WW,Corsair,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/0840006627470_Corsair 5000D Airflow Midi-Tower, Tempered Glass - schwarz",,,,,,,2/10,0,0/4,0,0/0,0,0,3,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520 mm,520 mm,,E-ATX,ATX,,420 mm,245 mm,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,0840006627470,CC-9011210-WW,Corsair,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/0840006627494_Corsair 5000D Airflow Midi-Tower, Tempered Glass - weiß",,,,,,,2/10,1,0/4,0,0/0,0,0,3,0/0,170 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520 mm,520 mm,,E-ATX,ATX,,420 mm,245 mm,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,0840006627494,CC-9011211-WW,Corsair,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/0843591047258_Corsair Carbide SPEC-02 Midi-Tower - schwarz_rot,,,,,,,2/6,1,0/2,0,0/0,0,0,0,0/0,157 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 mm,430 mm,,ATX,ATX,,420 mm,220 mm,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,0843591047258,CC-9011051-WW,Corsair,010832829458,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7350041084129_Fractal Design Define Nano S Mini-ITX - schwarz,,,,,,,1/6,2,1/4,0,0/0,2,1,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 mm,330 mm,,Mini-ITX,ATX,,315 mm,203 mm,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,Yes,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,7350041084129,FD-CA-DEF-NANO-S-BK,Fractal Design,817301014120,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7350041084907_Fractal Design Focus G Midi-Tower - schwarz Window,,,,,,,2/6,1,0/4,0,0/0,2,1,0,0/0,165 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464 mm,444 mm,,ATX,ATX,,380 mm,205 mm,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,7350041084907,FD-CA-FOCUS-BK-W,Fractal Design,817301014908,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7340172700081_Fractal Design Meshify C Midi-Tower - schwarz,,,,,,,2/7,1,0/4,0,0/0,1,0,1,0/0,172 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395 mm,440 mm,,ATX,ATX,,315 mm,217 mm,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,7340172700081,FD-CA-MESH-C-BKO,Fractal Design,843276100087,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/7340172700111_Fractal Design Meshify C Mini Dark TG Micro-ATX, Glas - schwarz",,,,,,,2/7,1,0/4,0,0/0,2,1,0,0/0,172 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395 mm,399 mm,,Micro-ATX,ATX,,315 mm,212 mm,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,7340172700111,FD-CA-MESH-C-MINI-BKO-TGD,Fractal Design,843276100117,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7350041084891_Fractal Design Meshify C Tempered Glass Dark Midi-Tower - schwarz,,,,,,,2/7,1,0/4,0,0/0,1,1,1,0/0,172 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395 mm,440 mm,,ATX,ATX,,315 mm,217 mm,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,7350041084891,FD-CA-MESH-C-BKO-TG,Fractal Design,817301014892,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7340172700074_Fractal Design Meshify C Tempered Glass Midi-Tower - schwarz,,,,,,,2/7,1,0/4,0,0/0,1,0,1,0/0,172 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395 mm,440 mm,,ATX,ATX,,315 mm,217 mm,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,7340172700074,FD-CA-MESH-C-BKO-TGL,Fractal Design,843276100070,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7340172700104_Fractal Design Meshify C White Tempered Glass Midi-Tower - weiß,,,,,,,2/7,1,0/4,0,0/0,1,0,1,0/0,172 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395 mm,440 mm,,ATX,ATX,,315 mm,217 mm,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,7340172700104,FD-CA-MESH-C-WT-TGC,Fractal Design,843276100100,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/7350041082675_Fractal Design Node 202 Mini-ITX - schwarz,,,,,,,0/2,0,0/0,0,0/0,0,0,0,0/0,56 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330 mm,82 mm,,Mini-ITX,SFX,,310 mm,377 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,7350041082675,FD-CA-NODE-202-BK,Fractal Design,817301012676,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/1220000350090_Hyte Y60 Midi Tower, Tempered Glass - schwarz",,,,,,,3/8,1,0/4,0,0/0,0,2,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456 mm,462 mm,,E-ATX,ATX,,375 mm,285 mm,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,1220000350090,CS-HYTE-Y60-B,Hyte,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/1220000350106_Hyte Y60 Midi Tower, Tempered Glass - schwarz_rot",,,,,,,3/8,1,0/4,0,0/0,0,2,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456 mm,462 mm,,E-ATX,ATX,,375 mm,285 mm,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,1220000350106,CS-HYTE-Y60-BR,Hyte,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/1220000350113_Hyte Y60 Midi Tower, Tempered Glass - schwarz_weiß",,,,,,,3/8,1,0/4,0,0/0,0,2,1,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456 mm,462 mm,,E-ATX,ATX,,375 mm,285 mm,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,1220000350113,CS-HYTE-Y60-BW,Hyte,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/5999094000544_Kolink Satellite Mini-ITX- _ Micro-ATX - schwarz,,,,,,,1/1,0,0/0,0,0/0,0,0,0,0/0,165 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 mm,190 mm,,Micro-ATX,ATX,,280 mm,260 mm,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,5999094000544,SATELLITE,Kolink,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4718466012142_Lian Li LANCOOL 205 Mesh C Midi-Tower - schwarz,,,,,,,1/5,0,2/4,0,0/0,0,2,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415 mm,485 mm,,ATX,ATX,,350 mm,205 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4718466012142,LANCOOL 205 MESH C BLACK,Lian Li,,,,,,,,,,,
https://www.pc-kombo.com/us/product/case/4718466012159_Lian Li LANCOOL 205 Mesh C Midi-Tower - weiß,,,,,,,1/5,0,2/4,0,0/0,0,2,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415 mm,485 mm,,ATX,ATX,,350 mm,205 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,No,4718466012159,LANCOOL 205 MESH C WHITE,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466008992_Lian Li LANCOOL 205 Midi-Tower, Tempered Glass - schwarz",,,,,,,2/5,0,0/5,0,0/0,0,2,0,0/0,160 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415 mm,485 mm,,ATX,ATX,,350 mm,205 mm,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466008992,LANCOOL 205 BLACK,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466009654_Lian Li LANCOOL 215 Midi-Tower - ARGB, Tempered Glass, schwarz",,,,,,,1/6,0,0/4,0,2/2,0,1,1,0/0,166 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462 mm,482 mm,,E-ATX,ATX,,370 mm,215 mm,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466009654,LANCOOL 215 BLACK,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466010865_Lian Li LANCOOL II Mesh C Performance Midi-Tower, Tempered Glass - schwarz",,,,,,,1/8,0,2/4,0,0/0,1,1,1,0/0,176 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478 mm,494 mm,,E-ATX,ATX,,384 mm,229 mm,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466010865,Lancool II mesh C performance black,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466471840_Lian Li LANCOOL II Mesh RGB Midi-Tower, Tempered Glass - schwarz",,,,,,,3/8,0,0/4,0,0/0,1,0,1,0/0,176 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478 mm,494 mm,,E-ATX,ATX,,384 mm,229 mm,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466471840,Lancool II mesh RGB black,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466009203_Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - schwarz",,,,,,,3/8,0,0/4,0,0/0,1,0,1,0/0,176 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478 mm,494 mm,,E-ATX,ATX,,384 mm,229 mm,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466009203,LANCOOL II - X,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466009210_Lian Li LANCOOL II Midi-Tower, Tempered Glass, DRGB - weiß",,,,,,,3/8,0,0/4,0,0/0,0,0,1,0/0,176 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478 mm,494 mm,,E-ATX,ATX,,384 mm,229 mm,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466009210,LANCOOL II -W,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466011770_Lian Li LANCOOL III E-ATX, Midi-Tower - schwarz",,,,,,,0/10,0,4/9,0,0/0,0,0,2,0/0,185 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526 mm,523 mm,,E-ATX,ATX,,420 mm,238 mm,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466011770,Lancool III Black,Lian Li,,,,,,,,,,,
"https://www.pc-kombo.com/us/product/case/4718466011787_Lian Li LANCOOL III E-ATX, Midi-Tower - weiß",,,,,,,0/10,0,4/9,0,0/0,0,0,2,0/0,185 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526 mm,523 mm,,E-ATX,ATX,,420 mm,238 mm,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,,No,SpecsIcecat (http://icecat.biz/) | AS IS Disclaimer (https://www.pc-kombo.com/asis),,,,,,,Yes,4718466011787,Lancool III White,Lian Li,840353042667,,,,,,,,,,
